Number of Convolutional Layers,Number of Linear Layers in Classifier,Other Model Features,Optimizer and Parameters,Loss (train/test),Accuracy (train/test)
15,3,"batch normalization, 4096 neurons in the layer, channels = [64, 128, 256, 512, 1024] block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.0802 / 1.8081,"68.54% / 55.94%"
15,3,"batch normalization, 4096 neurons in the layer, dropout in classifier, channels = [64, 128, 256, 512, 1024] block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.2514 / 1.7330,"64.97% / 56.09%"
15,3,"batch normalization, 4096 neurons in the layer, dropout after maxpool in each layer, channels = [64, 128, 256, 512, 1024] block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.3235 / 1.7725,"62.63% / 54.78%"
15,3,"batch normalization, 4096 neurons in the layer, dropout after maxpool in each layer, dropout after each layer in classifier, channels = [64, 128, 256, 512, 1024] block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.0332 / 1.6159,"71.44% / 59.88%"
15,3,"batch normalization, 4096 neurons in the layer, dropout after maxpool in each layer, dropout after each layer in classifier, channels = [64, 128, 256, 512, 1024] block_config = [2, 2, 3, 3, 3]",default AdamW lr = 1e-3,0.9562 / 1.5482,"73.23% / 61.91%"
15,3,"batch normalization, 4096 neurons in the layer, dropout after maxpool in each layer, dropout after each layer in classifier, channels = [64, 128, 256, 512, 1024] block_config = [3, 3, 3, 3, 3]",default AdamW lr = 1e-3,1.0519 / 1.5423,"70.67% / 61.14%"
10,3,"batch normalization, maximum number of neurons in the layer is 64",AdamW lr = 1e-3 wd= 1e-2,0.7541 / 2.0298,"76.36% / 51.68%"
10,3,"batch normalization, maximum number of neurons in the layer is 64","Adam wd = 1e-2, lr = 1e-3",2.0850 / 2.2806,"46.45% / 41.68%"
10,3,"batch normalization, maximum number of neurons in the layer is 64",AdamW lr = 1.5e-2 wd = 1e-2,0.8730 / 2.0812,"73.13% / 48.80%"
10,3,"batch normalization, maximum number of neurons in the layer - 64, dropout p=0.2 after each pooling layer (3 times)",AdamW lr = 1e-3 wd= 1e-2,1.0248 / 2.0197,"68.8% / 50.22%"
10,3,"batch normalization, maximum number of neurons in the layer - 64, dropout p=0.1 after each pooling layer (3 times)",AdamW lr = 1e-3 wd= 1e-2,0.9339 / 2.1303,"71.29% / 48.90%"
